"id","code","note","name"
"hr_payroll.BASIC","BASIC","","Básico"
"hr_payroll.ALW","ALW","","Percepciones"
"hr_payroll.GROSS","GROSS","","Bruto"
"hr_payroll.DED","DED","","Deducciones"
"hr_payroll.NET","NET","","Neto"
"hr_payroll.COMP","COMP","","Contribución compañía"
"__export__.hr_salary_rule_category_7","ALW3","","Otros Pagos"
"__export__.hr_salary_rule_category_8","ALW2","","Percepcion exenta"
"__export__.hr_salary_rule_category_13_7bbe7f60","AUX","","Auxiliar"
"__export__.hr_salary_rule_category_16_09064291","ALW1","","Percepcion gravada"
